name,language,stars
hammer-kit,C,78
devsite-template,,3
mosaic,Rust,17
tcpauth,C,100
recog,JavaScript,5
transperf,Python,210
rescue-tools-reiserfs,Python,5
localsubnetsetd,Python,6
experience-accessibility,Java,25
ihmehimmeli,C++,144
kube-node-tracer,Shell,9
fidi,C++,10
proto-quic,,1.2k
transmat,TypeScript,507
git-presubmit-linter,Shell,41
pyvisionproductsearch,Python,9
blueprint,Go,352
mysql-ripple,C++,377
skywater-pdk-libs-sky130_fd_sc_hdll,Verilog,7
skywater-pdk-libs-sky130_fd_sc_hs,Verilog,5
skywater-pdk-libs-sky130_fd_sc_hvl,Verilog,4
skywater-pdk-libs-sky130_fd_sc_ls,Verilog,5
skywater-pdk-libs-sky130_fd_sc_ms,Verilog,5
skywater-pdk-libs-sky130_fd_sc_lp,Verilog,8
coapblaster,Java,39
formal-ml,Lean,25
cabal2bazel,Starlark,42
ffcc,MATLAB,217
retriever_parsing,Python,9
custom-tab-groups,JavaScript,4
prog-edu-assistant-quizzes,Jupyter Notebook,6
pygtrie,Python,824
pcbdl,Python,182
look-before-you-speak,HTML,5
applied-machine-learning-intensive,Jupyter Notebook,150
tirg,Python,304
autobidding-readiness-monitor,Python,9
merror,C++,6
actions-on-google-flashcards-template-sdk,JavaScript,9
actions-on-google-trivia-template-sdk,JavaScript,18
splot-java,Java,16
hotel-booking-api-validator,Go,19
googlesource-auth-tools,Go,17
starlark-rust,,193
protodatastore-cpp,C++,5
dspl,Python,63
pinject,Python,1.3k
wasserstein-dist,Python,73
dotty,Python,49
go-pcie-screamer,Go,30
sge-monorepo,Go,72
http_pattern_matcher,C++,5
brailleback,Java,33
hubvantage,JavaScript,6
example_extrapolation,Python,9
security-research-pocs,C++,1.9k
ga360-bqml-toolkit,Jupyter Notebook,8
pytruth,Python,159
android-emulator-m1-preview,,1.9k
nitroml,Jupyter Notebook,43
perforce-utils,Shell,9
arrow-logo,Dart,15
stm32_bare_lib,C,133
usbmon,C,61
timecast,Python,16
tcav-for-ehr,Python,6
dicomproxy,Java,7
idaidle,CMake,31
forklift,JavaScript,10
ftc-object-detection,C++,43
containerregistry,Python,212
open-location-code-swift,Swift,49
midi-dump-tools,C,30
sky-optimization,,56
image-supplemental-feed-creator,Python,3
compare_gan,Python,1.8k
zeroshell-linode,Shell,14
apis-client-generator,Python,162
gae-secure-scaffold-python,Python,111
dart-gl,C++,92
network-mapper,,52
mako,C++,57
sling,C++,1.9k
tie,JavaScript,361
citest,Python,60
spindle-dv360,Python,13
canvas-5-polyfill,JavaScript,192
trueview-sdf-generator,JavaScript,5
mannequinchallenge,Python,496
skicka,Go,1.3k
cauliflowervest,Python,278
vsaq,JavaScript,856
StrawNet,HTML,4
retiming,Python,176
aistreams,C++,7
safeside,C++,505
blockly-ios,Swift,409
open-gantry,CSS,10
swift,,836
coursebuilder-core,Python,147
hypebot,Python,16
python-lakeside,Python,47
path-auditor,C++,252
xscreensaver-dbus,Haskell,4
tim-gan,Python,12
swift-structural,Swift,33
spherical-harmonics,C++,552
spatiotemporal-graphnn-tf,Jupyter Notebook,6
reftable,C,37
google-reauth-python,Python,12
vogon,JavaScript,108
automl-video-ondevice,Python,54
gulava,Java,45
analytics-audience-automation-tool,JavaScript,8
gxui,Go,4.4k
python-laurel,Python,60
nvidia_libs_test,C++,53
breadboard,C++,120
xssxss,C,3
vc-defer,Emacs Lisp,14
device-access-codelab-web-app,JavaScript,12
firing-range,Java,1.4k
CTAP2-test-tool-corpus,,7
portrait-shadow-manipulation,Jupyter Notebook,302
google-api-java-client-samples,Java,741
libprio-cc,C++,8
favcolor-server,Ruby,8
wmt19-paraphrased-references,,15
speed-opportunity-finder,Python,10
kilt,Go,12
context-expression-nature-study,MATLAB,19
modem,Jupyter Notebook,41
roman-word-bubbling,CSS,6
ct-hackday-schwag,Go,12
p4-pdpi,C++,16
angular-a11y-workshop,TypeScript,9
angular_cli,Dart,63
binnavi,Java,2.9k
vkb,CMake,10
cluster-scoped-cicd,Makefile,10
autol2,Python,7
ssl_logger,Python,1.1k
rekall-profiles,HTML,100
rekall,Python,2k
seq2seq,Python,5.6k
inject.dart,Dart,867
tinkCryptoHelper,Java,6
in-silico-labeling,Python,262
berrydb,C++,66
android-arscblamer,Java,946
render-timing-for-unity,C++,167
tcp_killer,Python,214
supersonic,C++,207
files.dart,Dart,21
region-flags,HTML,210
it-cert-automation,Python,18
fhir-ml,,3
it-cert-automation-project,Python,22
jws,Python,61
ruby-openid-apps-discovery,Ruby,38
x,,4
orchestra,Python,51
gke-auditor,Java,74
google-authenticator,Java,5.3k
box2d.dart,Dart,117
dart-scissors,Dart,34
dart-glfw,C++,37
gtm-http-fetcher,Objective-C,57
DirectXShaderCompiler,C++,54
llvm-project,C++,8
google-apputils,Python,38
chrome-opt-out-extension,JavaScript,12
meet-on-fhir,JavaScript,27
bgu,C++,155
actions-on-google-pq2-template-sdk,JavaScript,14
cpp-async-rpc,C++,76
article-recommender,Python,12
opencasebook,Ruby,77
goterm,Go,216
spectral-density,Python,124
soong_verification,Lean,13
causal-panel-synthetic-data,R,10
wicked-good-xpath,JavaScript,289
gcp-fwrule-open-domain,Shell,6
b-con,Python,6
x-amber,C,162
debaised-analysis,HTML,3
fusion-power-video,C++,15
cloud-network-reachability,,5
zero-touch-reseller-tool,Java,3
controlled-noisy-web-labels,HTML,5
walk,C,76
dv360-bidbyweather,JavaScript,11
self-published-geo,Python,14
iosched-ios,Swift,254
pymql,Python,21
asset-check,JavaScript,24
agency-ads-management-solutions,JavaScript,12
compynator,Python,90
edf,Go,15
mlir-npcomp,,51
knowledge-base-gmail-addon,JavaScript,7
closure-compiler-js,JavaScript,1.8k
py-ast-utils,Python,18
sonic-p4rt,,3
repose,Python,5
or-models,,3
git-sync-changes,Shell,42
airdialogue_model,Python,17
iot-environment-sensors,C++,13
gvisor-containerd-shim,Go,81
lipsync,JavaScript,224
prochlo,C++,34
python-gflags,Python,188
rtc-video-quality,Python,116
loaner,Python,170
tpm-js,C++,138
cloud-network-reachabilty,,3
wikiloop-analysis,Python,4
draft-irtf-cfrg-vrf,Go,30
tock,Rust,12
ringdroid,Java,854
triemap,Go,14
framecount-colorbars-v1,Java,4
casfs,Python,17
python-atfork,Python,25
python-subprocess32,Python,173
where-is-my-watch,,
novm,Go,1.7k
pam-cryptsetup,C,36
parallel-chunks,Python,6
google-authenticator-android,Java,1.7k
responsive-search-ads-builder,JavaScript,8
categorybuilder,Python,99
capsicum-linux,C,210
cmockery,Shell,1.1k
CurbsidePickup,JavaScript,4
androiddevicesjs,TypeScript,6
google-input-tools,JavaScript,265
weighted-dict,Python,19
samba-documents-provider,Java,666
cartoonset,HTML,15
gvisor-website,HTML,14
prettytensor,Python,1.2k
vmregistry,Go,25
HardwarePrototypingToolkit,,4
gapid-dev-releases,,17
applied-computing-series,Python,14
cloudprint_logocert,Python,27
tflow2,Go,39
dart_google_apps,Dart,24
blockly-tools,Shell,17
covid19-face-shield,,10
lvmd,Go,28
chrome-media-audio-papers,HTML,7
git-rebaser,Python,13
adcase,Python,7
powered-caster-vehicle,C++,16
play-instant-unity-plugin,C#,149
git-appraise-eclipse,Java,36
python-fanotify,C,57
slothfs,Go,59
emoticon-composer-font,HTML,12
cloud-analytics-ts,TypeScript,6
angular_node_bind.dart,Dart,26
allied-oscillators,JavaScript,9
create-framework,Dart,6
wayback-machine-button,JavaScript,11
certificate-maker,JavaScript,126
night-sight,,82
galogen,C++,51
chatbase-node,JavaScript,80
guava-js-umd,JavaScript,6
NeuroNER-CSPMC,Python,12
cxx-std-draft,TeX,53
revisiting-self-supervised,Python,353
jacs,Python,13
cameraview,Java,4.7k
gulp-google-closure-deps,JavaScript,4
gerrit-linter,Go,27
sprockets,Python,11
restor,Objective-C,226
blockly-experimental,JavaScript,8
OctoPrint-LEDStripControl,Python,64
OctoPrint-TemperatureFailsafe,Python,27
OctoPrint-HeaterTimeout,Python,13
palette.js,JavaScript,589
certificate-transparency-java,Java,41
AppSpeedIndex,Python,13
gpu-runtime,C++,18
gcnn-survey-paper,Python,174
apps_script_tools,Dart,26
macops-keychainminder,Objective-C,95
embedding-tests,Python,17
tracing-framework,JavaScript,2.6k
netstack,Go,3.1k
multi-task-architecture-search,Python,12
pyringe,Python,1.6k
eddystone,C,3.1k
statechart,C++,121
deputy-api-python-client,Python,9
checkers,Python,17
shlex,Go,190
nixysa,Python,10
szl,C++,70
abpackage,R,68
gps_data_solutions,Go,4
sredocs,Go,48
tiff,Go,70
google-api-ruby-client-samples,,330
gpu-mux,Python,42
jarvan,Python,4
enjarify,Python,2.7k
orderedcode,Go,41
wikiloop-wikidata-game,JavaScript,5
automation-inspector,JavaScript,29
floog,TSQL,6
icing-search,,3
distributed-git-forks,Shell,22
phase-prediction,HTML,4
campaign-manager-bulk-uploader,Python,10
swift-lldb,C++,10
swift-clang,C++,8
swift-llvm,LLVM,8
swift-corelibs-libdispatch,C,5
swift-corelibs-foundation,C,5
mr4c,Java,907
graph-gen,Python,6
sa360-bidbyweather,JavaScript,5
swift-corelibs-xctest,Swift,5
gfbuild-SPIRV-Cross,,3
MOE-py,Java,7
cloud-function-edit-drive-permissions,Python,16
GeoexperimentsResearch,R,140
image-compression,C++,78
gdata-python-client,HTML,450
pixelvisualcorecamera,Java,115
vim-searchindex,Vim Script,369
retrieval-qa-eval,Python,42
cap-library,HTML,86
pulito,JavaScript,43
neural_rerendering_in_the_wild,Python,208
rxcppuniq,C++,13
charted,Dart,157
boundedwait,Go,7
fleetspeak-doc,,4
earthstudio-ffmpeg-automator,Shell,11
page-timer,JavaScript,100
dpy,Python,63
crunchy,C++,126
dimsum,C++,171
copper,Python,16
cpix_cc,C++,16
intellij-protocol-buffer-editor,Java,20
vim-codereview,Vim Script,75
vim-syncopate,Vim Script,90
grpc-kapt,Kotlin,26
swift-package-manager,Swift,8
webview-local-server,Java,109
kleaver,C,9
gocw,Go,19
pyctr,Python,23
blockly-android,Java,680
android-kerberos-authenticator,Java,32
uiimage-additions,Objective-C,25
emitto,Go,13
stereo-magnification,Python,406
ldpush,Python,37
googlemock,,433
battery-historian,Go,5.4k
graph_distillation,Python,65
byterun,Python,17
wear-sensors,Java,52
wear-screeninfo,Java,29
wear-displaylock,Java,5
cm-user-tool,JavaScript,5
science-journal-arduino,C,150
nel-collector,Go,40
google-api-cpp-client,C++,303
libcxx,C++,192
vectorio,Go,98
openjdk-kerberos,Java,10
astc-codec,C++,73
atlassian-addons-audit-sheet,Python,11
protorpc,Python,69
kiwi-solver,Java,53
cssi-blogasaurus,HTML,7
gpu-emulation-stress-test,C++,79
rust-shell,Rust,225
git-phabricator-mirror,Go,30
prometheus-slo-burn-example,Go,142
bookbot-navigation,C++,13
android-wear-stitch-script,Python,39
squires,Python,15
web-activities,JavaScript,51
keyczar,,1.1k
neural-logic-machines,Python,293
sha1dc-jni,Java,5
flatui,C++,651
motive,C++,202
expt-analysis,Python,7
chromeosnavigationdemo,Kotlin,10
github-issue-mover,Dart,612
gjstest,C++,129
godepq,Go,335
harpia,Shell,15
pjflate,Java,6
us-altgr-intl,Perl,16
error-prone-javac,Java,36
gwt-charts,Java,25
git-patrol,Python,9
horenso,Perl,63
n-digit-mnist,Python,46
pagespeed-inslides,JavaScript,58
go-structeditor,Go,41
navc,Go,60
ios-chatbot,Objective-C,93
codemirror-mode-jsonnet,JavaScript,19
ps_log,PowerShell,15
support-tools,Python,29
wikiloop-datasets,,7
heroku-buildpack-bazel,Shell,8
skylark,Go,1.2k
image-rebase,Go,38
zsldemo,Kotlin,20
easy-grid,JavaScript,37
keps,Go,9
hyou,Python,109
shipshape,Go,270
glslang,,36
quark,C,10
vr180,Java,55
orismologer,Go,11
chord,JavaScript,28
qpp,JavaScript,43
go-microservice-helpers,Go,418
node-sec-roadmap,JavaScript,173
gdata-java-client,Java,136
gtm_load_timer,Objective-C,44
hangouts-chat-bot-cloud-function-nodejs-example,JavaScript,16
googletv-android-samples,Java,165
dbm-lineitem-copier,JavaScript,13
dcm-bulk-trafficking,JavaScript,11
google-api-objectivec-client,,303
radioreceiver,JavaScript,411
meta_tagger,Python,48
btls,Haskell,15
opuscpp,C++,28
credstore,Go,87
khll-paper-experiments,,12
link022,Go,121
capillary,Java,500
active-qa,Python,343
python-dimond,Python,31
detectorgraph,C++,46
node-dependency-analysis,TypeScript,16
syzygy,C++,377
physical-web,Java,6k
ioweb2016,HTML,519
blue-green-deployment-controller,Go,53
cornerstone,JavaScript,7
appengine-jenkins,Shell,36
Safelight,JavaScript,22
blkcgroup,Python,11
cpython-pt,Python,12
protobuf-dt,Java,40
cpp-netlib,C++,344
mysql,C++,52
sawbuck,C++,112
uribeacon,,410
ohmu,C++,107
recki-ct,PHP,551
url_diff,Python,98
filesystem-proposal,C++,19
developer.github.com,Ruby,23
helloargdx,Java,56
emoji4unicode,Python,53
closure-linter,Python,113
ced,C++,58
mozart,Python,12
python-yaml-config,Python,14
cloud-berg,Python,26
fast-optimized-community-significance,R,5
binplist,Python,53
svalbard,Go,35
go-write,Go,3
cornerstoneWADOImageLoader,JavaScript,5
cornerstoneTools,JavaScript,5
sa360-bulk-editor,JavaScript,5
election-au-2016,Go,100
fancy-regex,Rust,165
realestate10k,HTML,6
asymproj_edge_dnn,Python,25
google-gdata,C#,15
bottlerocket,Scala,110
pandas,Python,27
cog,Python,44
bottery,JavaScript,3.3k
sa360-flightsfeed,JavaScript,13
audio-sync-kit,Python,110
BucketServer,Go,7
ORFConverter,C#,5
chatbase-dotnet,C#,22
dtask,C,27
virtual-tutors,HTML,6
ioweb2015,JavaScript,680
minions,Go,132
gdata-objectivec-client,Objective-C,186
macops-MOLFCMClient,Objective-C,13
detangle,JavaScript,171
pg_page_verification,C,110
layered-scene-inference,Python,87
chaps-linux,Makefile,37
amp-toolbox,JavaScript,12
quickshift,C++,70
web-audio-recognition,Jupyter Notebook,83
coursebuilder-resources,Shell,15
0x0g-2018-badge,C,19
dbm-trix-addon,JavaScript,6
fplutil,Python,335
coursebuilder-releases,,26
google-visualization-java,Java,34
asr-recipes,Shell,17
identity-aware-prober,Go,12
xrtl,C++,131
token_bind,C,19
differentiable-atomistic-potentials,Python,56
swift-integration-tests,Python,6
swift-compiler-rt,C,5
swift-llbuild,C++,5
swift-cmark,C,5
maddpg-replication,Jupyter Notebook,32
node-armor,,4
virtualdesktops-extension,JavaScript,24
nips_assignments,C++,14
sparrowhawk,Shell,212
zooshi,C++,291
http_prefetching,JavaScript,8
kv-s3105c,C,6
fastboot-mobile,Kotlin,81
amss,R,50
search-samples,Java,549
abstreet,Rust,36
dl_bounds,Python,17
chrome-tabber,JavaScript,14
beacon-platform,,391
dcm_bulk_onboarding,JavaScript,7
fast-simple-lcsk,C++,21
dcm-video-uploader,Python,9
TouchTime,Java,39
uniflow-polymer,HTML,165
rally,Java,38
teknowledge,Python,30
clerk,C++,38
ahdlc,C,14
aperture_supervision,Python,33
YetAnotherChatApp,Java,9
grittibanzli,C++,27
ds-trix-addon,JavaScript,16
hat-backup,Rust,252
angular-sticky-element,TypeScript,22
vae-seq,Python,177
cloud-cup,JavaScript,23
cloud-cup-android,Java,51
fest,,10
decoupled_gaussian_process,Python,24
safevarargs,,7
opentest,,3
encrypted-bigquery-client,Python,175
rbe-integration-test,Python,6
chained-promise,TypeScript,53
synergyfinderengineered,R,8
amp-client-id-library,JavaScript,11
go-trace,Go,31
hell0world-curriculum,HTML,7
intelligent_annotation_dialogs,Jupyter Notebook,29
cornerstoneMath,JavaScript,7
burst-denoising,Python,247
generativemloncloud,Python,58
aiyprojects-deeplearn-tensorflow,TypeScript,39
tensorflow-tools,JavaScript,17
hugeml,,6
coq-bpf,Coq,19
pinotify,Java,6
CallBuilder,Java,105
catnip,Python,26
yaricv32,Verilog,11
unigem-objective-c,Objective-C,25
speech_style_transfer,HTML,4
perf_api.dart,Dart,9
golden,Go,54
latency-benchmark,C,446
joint_vae,OpenEdge ABL,36
stumblybot,Python,25
mt,C++,52
cornerstoneWebImageLoader,JavaScript,5
streamy-dart,Dart,61
dicomParser,JavaScript,7
vulkan-cpp-library,C++,250
bbcpu,Verilog,16
dev-on-chromeos-gce-setup,Shell,7
pbvi,Python,8
capture-thread,C++,100
pblog,C,29
text2text,Python,55
ce-open-data-set,,8
voice-iot-maker-demo,JavaScript,69
terminal-app-function-keys,Python,89
FakeMaker,JavaScript,22
genomics-protos,Python,13
clicktrackers-panel,Python,7
yara-procdump-python,C,11
streaming_hdp,Go,4
coursebuilder-android-container-module,Python,23
sync3k-server,Scala,21
tern-closure,JavaScript,33
helm-broker,Go,33
ndash,C++,40
VRD,Python,6
sync3k-client,TypeScript,19
acme,Go,382
dart-sync-webdriver,Dart,22
dart-sync-socket,Dart,25
Legilimency,Python,114
mipsqa,Python,26
devicehub,Java,11
gtd-txt,Shell,21
bitutils,Python,16
sonic-midi,Ruby,17
gumbel_sinkhorn,Python,76
arc-xcode-test-engine,PHP,35
energystrategies,TypeScript,15
marmot,Go,189
clojure-turtle,Clojure,428
dev-on-chromeos-che,,5
dev-on-chromeos-openvpn,Shell,12
keytransparency-java,Java,6
bocado,Python,9
anvil-build,Python,58
river,,4
trix-auto-complete,JavaScript,17
MAB,R,38
idris-protobuf,Idris,32
energysimulation,Jupyter Notebook,72
pyrios,Go,61
thread-weaver,Java,309
cwd_jmp,Shell,8
kratu,JavaScript,283
codeu_coding_assessment_b_2017,Java,9
coverage,Emacs Lisp,28
ts-gulp,,2
git-annex-external-gcs,,4
makerspace-emonth,KiCad Layout,8
paper-gui,HTML,51
testrunner-rosemary,Java,3
spline,Java,28
creatism,HTML,29
mockable_filesystem.dart,Dart,12
okay,Go,22
metaserver,Go,10
microdhcpd,Go,15
pubkeystore,Go,23
unimorph,HTML,20
GL-Shader-Validator,Python,40
light-my-piano,Python,89
grr_go_client,Go,5
fury,Go,35
grr_go_api_client,Go,5
rttcp,Python,33
functions-demo,JavaScript,6
packet-queue,Python,31
easybundler,Java,54
chkstream,Python,18
glmmplus,R,12
codeu_coding_assessment_2017,Java,10
address-geocoder-js,HTML,11
classp,Bison,169
xmpmeta,C++,19
depth_fusion,C++,18
amp-pwa-demo,JavaScript,113
Zhi,Python,28
agata,JavaScript,14
prerender-test,JavaScript,15
audit-normalmap,C,15
varstruct,C++,18
emre,C++,13
simple-reinforcement-learning,Python,58
homebrew-google-authenticator,Ruby,29
request-test,Python,6
blockly-repo,,10
pindrop,C++,142
goldfinch,,64
scene_lab,C++,57
corgi,C++,251
dropzone-polyfill,HTML,5
ot-crdt-papers,JavaScript,249
windowtester,Java,19
fpc,C,29
fchan-go,Go,311
xdelta3-decoder-js,C,13
appengine-phabricator,Shell,19
cpp-frp,C++,70
yang_vocoder,MATLAB,91
keystone,Elm,31
adapt-googleanalytics,JavaScript,8
deepboost,C++,154
mcic-coco,,24
readahead,Go,136
source_transformer.dart,Dart,9
mcafp,Python,38
gtm-oauth,Objective-C,24
morphie,C++,23
libgep,C++,55
smilesparser,Python,13
built_json.dart,,19
conferenceDB,HTML,9
indexable-pwa-samples,JavaScript,56
enum_class.dart,,15
sass_generator,,4
vpn-reverse-tether,C,190
protocall,Python,13
transliteration,,56
power-traces,Protocol Buffer,8
indexed-db-as-promised,JavaScript,26
gotrace,,21
cameraraw,Go,26
everythingisconnected,JavaScript,19
libkml,C++,97
geovelo,JavaScript,44
gfw-toolkit,Python,29
googleapps-message-recall,Python,16
macops-MOMenu,Objective-C,47
dart2java,Java,61
param_runner,Shell,4
gde-speakersbureau,JavaScript,7
AppUpdateTrackerLib,Java,7
rustcxx,Rust,509
dualhttp,JavaScript,22
go-webdav,Go,70
dorusu-js,JavaScript,40
identity-toolkit-go-client,Go,57
dynamex-proto,Protocol Buffer,7
auto-common,,5
auto-service,,5
auto-factory,,5
prudaq,Eagle,123
realtime-help,Python,20
pepper.js,JavaScript,324
instant-hangouts,JavaScript,184
LiquidFunPaint,Java,166
easy-gwt-mock,Java,13
gofountain,Go,110
VoltAir,C++,317
bzip2-rpc,C,14
gipfeli,C++,117
go-circuits,Go,15
rpki-mgmt,Puppet,6
simplecfg,Java,11
maketrace,C++,19
Chrome.Docs,JavaScript,27
bluesky-watchface,C,11
slowfs,Go,58
arc-jazzy-linter,PHP,18
merge_pyi,Python,15
drone-firebase,Go,14
cncmicroscope-cad,OpenSCAD,15
access-bridge-explorer,C#,126
gitwf,,4
arc-proselint,PHP,17
channel-id-enclave,,33
generator-goro,JavaScript,24
xpaf,C++,153
google-empty-test-module,,3
cloud-reporting,Java,8
reagera,Java,13
py-decorators-tutorial,Jupyter Notebook,31
identity-toolkit-node-client,JavaScript,30
GOS-conventions,Shell,8
identity-toolkit-java-client,Java,37
jalic,C,11
arc-regex-line-length-linter,PHP,8
identity-toolkit-ruby-client,Ruby,10
file-system-stress-testing,C,104
linux-sensor,C,32
multibox,,307
offline-content-packager,,35
crush-tools,Shell,150
flutter-data,Dart,11
resolver-library,Python,7
hops,C++,11
kythe-cloud9,JavaScript,7
physical-web-core,,3
flooefi,,10
serialization.dart,Dart,32
templatekit,Objective-C,19
metrosvg,C++,13
paramgmt,Python,85
pienoon,C++,438
translation-cards,Java,17
topdown-btg-preordering,C++,16
openpgp-interop,,8
appengine-codiad,JavaScript,39
godata,Go,26
opentest4j,Java,5
identity-toolkit-php-client,PHP,37
google-maven-parents,,6
identity-toolkit-python-client,Python,32
Refaster,Java,54
strabo,Elixir,60
http2preload,Go,20
checkers_classic,Python,7
node-nest,JavaScript,4
intellij-cmdline-vcs-plugin,Java,4
docopt-scripts,Go,6
xpra-upstart,,3
steamkeysactivator,AppleScript,29
homebrew-xpra,Ruby,9
shipshape-demo,Python,4
hashing-demo,C++,29
autopiper,C++,48
inception,,878
clang-lens,Haskell,20
crisis-info-hub,JavaScript,35
dart-immutables,Dart,6
streamhtmlparser,C,17
pods-helper,Objective-C,5
cluster-insight,Python,99
freebase-wikidata-converter,PHP,63
snappy-start,C,450
capsicum-man-pages,Groff,10
rust-multihash,Rust,62
organ-donor-app,,3
trace-viewer,,491
rowhammer-test,C++,984
ferret,Java,8
module-server,JavaScript,565
autoparse,Ruby,146
android-studio-check,Java,14
chromeos-filesystems,JavaScript,125
gojiraw,Go,16
terminal-py,Python,7
lmctfy,C++,3.4k
dart-shapeshift,Dart,13
calenviroscreen,R,8
cncmicroscope-code,C++,24
o3dtoydefense,JavaScript,8
epr,JavaScript,16
codename-mvsv,JavaScript,9
io-captions-gadget,Python,5
ytstatistics-demo,Java,5
sensei,C++,55
comid,Dart,15
service_worker.dart,Dart,9
google-visualization-issues,,286
dart-doc_coverage,Dart,7
voter-info-tool,JavaScript,7
chrome-language-immersion,JavaScript,46
coursebuilder_xblock_module,Python,17
py-html-contextual-escaping,Python,4
json-sans-eval,HTML,7
mysql-tools,Python,212
refr,C++,28
coursebuilder-hello-world-module,Python,8
dart-emacs-plugin-unsupported,Emacs Lisp,12
older-mirrored-patches,,4
objectfilter,Python,4
retrofit,Java,43
nfc-smart-tag,Java,12
irrduino,Processing,51
reportlatency,Perl,6
gmailsnooze,JavaScript,16
deliberate,,4
network-visualizer-x,,5
reboot-somalia,,3
citizen-x,,5
pytypedecl,Python,66
rysim,Erlang,7
jsontoken-tmp,,3
go-shlex,,5
zarathustra,Java,14
pull-request-mailer,Haskell,45
elfling,C++,25
vim-ft-vroom,Vim Script,12
picview-for-android,Java,51
picasa-app-demo,Java,10
web-starter-kit-extras,,71
simple-pedometer,Java,77
sensor-data-collection-library,Java,46
ashier,Python,29
coursebuilder-lti-module,Python,16
episodes.dart,Dart,14
polymer-dart-log-controller,Dart,8
ebola-tools,Python,15
pubsubhubbub,,6
dart-tagtree,Dart,78
turing-doodle,JavaScript,170
linear-book-scanner,Python,81
java-thread-sanitizer,Java,76
gin,,5
go-glicko2,,5
rct-automation,C++,23
Idris-dev,Haskell,9
forcefield,Gosu,48
dart-gif-encoder,Dart,28
glassbox,R,22
coursebuilder-learning-analytics,,5
NLSdata,R,8
jenkins-flaky-test-report,,5
build-debian-cloud,Python,35
dart-collab,Dart,47
wheelbarrow,Python,11
photo-sphere,,4
oss-bench,,6
heartbleed-burp-extension,Java,13
lab_device_proxy,Python,39
gdal-autotest2,,4
patchfield,Java,277
googleapps-password-generator,,27
YouCompleteSubl,,2
favcolor-findidp,,5
appengine_xblock_runtime,Python,19
memcache-collections,Python,66
course-builder,,5
favcolor-android,Java,40
systemjs,JavaScript,64
favcolor-ios,,5
pixelcycle-sample-app,Dart,10
container-rfc,,11
gae-channel-api.dart,Dart,10
ChannelPlate,JavaScript,23
testRunner,JavaScript,10
devtoolsExtended,JavaScript,73
self-hosted-rss-to-email,Go,29
zimu,C,6
tsviewdb,JavaScript,125
beta-binomial-fitting,,6
wiberg-minimization,,17
crx2app,JavaScript,22
concatenate.js,JavaScript,92
firmata.py,Python,21
sirius,,8
